Country,Birthrate,Service
Afghanistan ,"46,6","0,38"
Albania ,"15,11","0,579"
Algeria ,"17,14","0,298"
American Samoa ,"22,46",
Andorra ,"8,71",
Angola ,"45,11","0,246"
Anguilla ,"14,17","0,78"
Antigua & Barbuda ,"16,93","0,743"
Argentina ,"16,73","0,547"
Armenia ,"12,07","0,418"
